docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
 127:            29           1392  java.util.WeakHashMap (java.base@11.0.8)
 128:            58           1392  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@11.0.8)
 129:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@11.0.8)
 130:            43           1376  jdk.jfr.internal.RequestEngine$RequestHook (jdk.jfr@11.0.8)
 131:            34           1360  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@11.0.8)
 132:            42           1344  javax.management.MBeanParameterInfo (java.management@11.0.8)
 133:            83           1328  com.sun.proxy.$Proxy7
 134:            44           1320  [Ljavax.management.MBeanOperationInfo; (java.management@11.0.8)
 135:            55           1312  [Ljavax.management.ObjectName$Property; (java.management@11.0.8)
 136:            41           1312  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@11.0.8)
 137:            40           1280  java.util.PropertyPermission (java.base@11.0.8)
 138:            32           1280  jdk.jfr.internal.settings.StackTraceSetting (jdk.jfr@11.0.8)
 139:            53           1272  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@11.0.8)
 140:            22           1232  java.util.logging.Logger (java.logging@11.0.8)
 141:            30           1200  java.time.temporal.ChronoField (java.base@11.0.8)
 142:            38           1184  [Ljava.math.BigInteger; (java.base@11.0.8)
 143:            48           1152  java.security.Provider$UString (java.base@11.0.8)
 144:            36           1152  java.util.LinkedList (java.base@11.0.8)
 145:            27           1080  java.lang.WeakPairMap$Pair$Weak (java.base@11.0.8)
 146:            19           1064  javax.management.openmbean.ArrayType (java.management@11.0.8)
 147:             2           1056  [Ljava.util.TimerTask; (java.base@11.0.8)
 148:            66           1056  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.8)
 149:            44           1056  java.util.Arrays$ArrayList (java.base@11.0.8)
 150:             1           1040  [Ljava.lang.Byte; (java.base@11.0.8)
 151:             1           1040  [Ljava.lang.Integer; (java.base@11.0.8)
 152:             1           1040  [Ljava.lang.Long; (java.base@11.0.8)
 153:            65           1040  jdk.internal.module.SystemModuleFinders$3 (java.base@11.0.8)
 154:            43           1032  javax.management.ObjectName$Property (java.management@11.0.8)
 155:            41           1024  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@11.0.8)
 156:            53           1000  [Lsun.reflect.generics.tree.TypeArgument; (java.base@11.0.8)
 157:            25           1000  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.8)
 158:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@11.0.8)
 159:            31            992  java.util.Vector (java.base@11.0.8)
 160:            41            984  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@11.0.8)
 161:            30            960  java.security.Provider$EngineDescription (java.base@11.0.8)
 162:            28            936  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@11.0.8)
 163:             9            936  java.io.ObjectStreamClass (java.base@11.0.8)
 164:            23            920  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@11.0.8)
 165:            23            920  java.util.logging.Logger$ConfigurationData (java.logging@11.0.8)
 166:            37            904  [Ljavax.management.MBeanParameterInfo; (java.management@11.0.8)
 167:            12            896  [S (java.base@11.0.8)
 168:            28            896  javax.management.ObjectName (java.management@11.0.8)
 169:            37            888  java.lang.module.ResolvedModule (java.base@11.0.8)
 170:            37            888  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@11.0.8)
 171:            37            888  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@11.0.8)
 172:             6            864  [Ljava.lang.invoke.MemberName; (java.base@11.0.8)
 173:            27            864  java.lang.WeakPairMap$Pair$Weak$1 (java.base@11.0.8)
 174:            27            864  jdk.internal.org.objectweb.asm.Type (java.base@11.0.8)
 175:            53            848  sun.reflect.generics.tree.ClassTypeSignature (java.base@11.0.8)
 176:            35            840  java.lang.management.ManagementPermission (java.management@11.0.8)
 177:            28            832  [Ljava.io.ObjectStreamField; (java.base@11.0.8)
 178:             4            832  [Z (java.base@11.0.8)
 179:            27            800  [Ljava.lang.annotation.ElementType; (java.base@11.0.8)
 180:            25            800  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@11.0.8)
 181:            25            800  java.util.Locale (java.base@11.0.8)
 182:            25            800  sun.util.locale.BaseLocale (java.base@11.0.8)
 183:            25            800  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
 184:            14            784  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@11.0.8)
 185:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@11.0.8)
 186:            24            768  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@11.0.8)
 187:             2            768  java.util.TimerThread (java.base@11.0.8)
 188:             2            768  jdk.internal.misc.InnocuousThread (java.base@11.0.8)
 189:            24            768  sun.reflect.annotation.AnnotationType (java.base@11.0.8)
 190:            13            728  javax.management.openmbean.CompositeType (java.management@11.0.8)
 191:            18            720  sun.reflect.generics.repository.MethodRepository (java.base@11.0.8)
 192:            30            720  sun.security.provider.PolicyFile$PolicyEntry (java.base@11.0.8)
 193:            28            672  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@11.0.8)
 194:             6            664  [D (java.base@11.0.8)
 195:            30            664  [Ljava.lang.reflect.Type; (java.base@11.0.8)
 196:            16            640  java.time.format.DateTimeFormatter (java.base@11.0.8)
 197:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@11.0.8)
 198:            26            624  java.lang.invoke.Invokers (java.base@11.0.8)
 199:            26            624  jdk.internal.org.objectweb.asm.commons.Method (java.base@11.0.8)
 200:            38            608  [Ljava.security.Principal; (java.base@11.0.8)
 201:            38            608  com.sun.proxy.$Proxy8
 202:            38            608  java.security.ProtectionDomain$Key (java.base@11.0.8)
 203:             5            600  [Ljava.lang.ClassValue$Entry; (java.base@11.0.8)
 204:            25            600  com.sun.jmx.mbeanserver.NamedObject (java.management@11.0.8)
 205:            15            600  java.lang.invoke.VarHandleObjects$FieldInstanceReadWrite (java.base@11.0.8)
 206:            25            600  java.time.LocalTime (java.base@11.0.8)
 207:             6            576  java.net.SocksSocketImpl (java.base@11.0.8)
 208:            18            576  sun.reflect.generics.tree.MethodTypeSignature (java.base@11.0.8)
 209:             7            560  java.util.concurrent.TimeUnit (java.base@11.0.8)
 210:            14            560  javax.management.openmbean.SimpleType (java.management@11.0.8)
 211:            17            544  java.lang.invoke.VarHandle$AccessDescriptor (java.base@11.0.8)
 212:             1            528  [Ljava.lang.Character; (java.base@11.0.8)
 213:            11            528  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping (java.management@11.0.8)
 214:            13            520  com.sun.jmx.mbeanserver.PerInterface (java.management@11.0.8)
 215:            16            512  java.time.temporal.ChronoUnit (java.base@11.0.8)
 216:            21            504  [Ljava.security.ProtectionDomain; (java.base@11.0.8)
 217:            21            504  java.util.AbstractMap$SimpleImmutableEntry (java.base@11.0.8)
 218:             7            496  [Lsun.invoke.util.Wrapper; (java.base@11.0.8)
 219:            12            480  java.io.FileDescriptor (java.base@11.0.8)
 220:            15            480  java.security.Permissions (java.base@11.0.8)
 221:            15            480  jdk.jfr.internal.EventWriterMethod (jdk.jfr@11.0.8)
 222:            10            480  sun.invoke.util.Wrapper (java.base@11.0.8)
 223:            20            480  sun.reflect.generics.factory.CoreReflectionFactory (java.base@11.0.8)
 224:            19            456  java.security.SecurityPermission (java.base@11.0.8)
 225:            19            456  java.time.Duration (java.base@11.0.8)
 226:            14            448  jdk.internal.reflect.UnsafeStaticObjectFieldAccessorImpl (java.base@11.0.8)
 227:             8            448  sun.management.MemoryPoolImpl (java.management@11.0.8)
 228:            20            440  [Ljavax.management.MBeanNotificationInfo; (java.management@11.0.8)
 229:            18            432  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@11.0.8)
 230:            18            432  sun.reflect.generics.scope.MethodScope (java.base@11.0.8)
 231:            26            416  com.sun.proxy.$Proxy2
 232:            13            416  sun.nio.fs.UnixPath (java.base@11.0.8)
 233:            17            408  javax.management.StandardMBean (java.management@11.0.8)
 234:            25            400  com.sun.proxy.$Proxy4
 235:            10            400  java.lang.OutOfMemoryError (java.base@11.0.8)
 236:            10            400  jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl (java.base@11.0.8)
 237:            25            400  jdk.jfr.internal.instrument.$Proxy27 (jdk.jfr@11.0.8)
 238:            24            384  com.sun.proxy.$Proxy3
 239:            12            384  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@11.0.8)
 240:             1            384  java.lang.ref.Finalizer$FinalizerThread (java.base@11.0.8)
 241:             1            384  java.util.logging.LogManager$Cleaner (java.logging@11.0.8)
 242:            12            384  sun.security.jca.ProviderConfig (java.base@11.0.8)
 243:             1            376  java.lang.ref.Reference$ReferenceHandler (java.base@11.0.8)
 244:            23            368  jdk.jfr.internal.StringPool (jdk.jfr@11.0.8)
 245:            21            360  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@11.0.8)
 246:            15            360  java.util.concurrent.atomic.AtomicLong (java.base@11.0.8)
 247:             9            360  sun.rmi.transport.tcp.TCPEndpoint (java.rmi@11.0.8)
 248:             8            352  [Ljava.lang.invoke.MethodType; (java.base@11.0.8)
 249:            21            352  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@11.0.8)
 250:            11            352  java.io.ObjectStreamClass$WeakClassKey (java.base@11.0.8)
 251:            22            352  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@11.0.8)
 252:             4            352  java.util.regex.Pattern (java.base@11.0.8)
 253:            11            352  jdk.jfr.internal.LogTag (jdk.jfr@11.0.8)
 254:            21            336  java.util.LinkedHashMap$LinkedEntrySet (java.base@11.0.8)
 255:             6            336  java.util.Properties (java.base@11.0.8)
 256:            14            336  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@11.0.8)
 257:            18            328  [Lsun.reflect.generics.tree.TypeSignature; (java.base@11.0.8)
 258:             4            320  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL (java.base@11.0.8)
 259:             8            320  java.lang.invoke.DirectMethodHandle$Interface (java.base@11.0.8)
 260:             5            320  java.nio.DirectByteBufferR (java.base@11.0.8)
 261:            10            320  java.util.Hashtable$Entry (java.base@11.0.8)
 262:            20            320  jdk.internal.reflect.BootstrapConstructorAccessorImpl (java.base@11.0.8)
