jmap -histo 7

 num     #instances         #bytes  class name
 280:             1             48  [Ljdk.nashorn.internal.runtime.JSType;
 281:             3             48  com.sun.proxy.$Proxy1
 282:             2             48  java.io.BufferedOutputStream
 283:             1             48  java.io.BufferedReader
 284:             2             48  java.io.File$PathStatus
 285:             2             48  java.lang.reflect.ReflectPermission
 286:             1             48  java.nio.HeapCharBuffer
 287:             2             48  java.nio.charset.CoderResult
 288:             3             48  java.nio.charset.CodingErrorAction
 289:             3             48  java.util.HashMap$EntrySet
 290:             2             48  java.util.zip.ZStreamRef
 291:             1             48  jdk.nashorn.internal.objects.NativeBoolean$Prototype
 292:             1             48  jdk.nashorn.internal.objects.NativeReferenceError$Prototype
 293:             1             48  jdk.nashorn.internal.objects.NativeSyntaxError$Prototype
 294:             1             48  jdk.nashorn.internal.objects.NativeTypeError$Prototype
 295:             2             48  jdk.nashorn.internal.runtime.linker.InvokeByName
 296:             2             48  sun.misc.NativeSignalHandler
 297:             3             48  sun.net.www.protocol.jar.Handler
 298:             1             48  sun.nio.cs.StreamDecoder
 299:             2             48  sun.reflect.NativeMethodAccessorImpl
 300:             1             40  [Ljava.security.Permission;
 301:             1             40  [[Ljava.lang.invoke.LambdaForm$Name;
 302:             1             40  java.io.BufferedInputStream
 303:             1             40  java.util.ResourceBundle$1
 304:             1             40  jdk.internal.dynalink.support.TypeConverterFactory
 305:             1             40  jdk.nashorn.internal.codegen.types.ArrayType
 306:             1             40  jdk.nashorn.internal.codegen.types.BooleanType
 307:             1             40  jdk.nashorn.internal.codegen.types.IntType
 308:             1             40  jdk.nashorn.internal.codegen.types.LongType
 309:             1             40  jdk.nashorn.internal.codegen.types.NumberType
 310:             1             40  jdk.nashorn.internal.codegen.types.Type$1
 311:             1             40  jdk.nashorn.internal.codegen.types.Type$2
 312:             1             40  jdk.nashorn.internal.codegen.types.Type$3
 313:             1             40  jdk.nashorn.internal.codegen.types.Type$4
 314:             1             40  jdk.nashorn.internal.codegen.types.Type$5
 315:             1             40  jdk.nashorn.internal.codegen.types.Type$6
 316:             1             40  jdk.nashorn.internal.codegen.types.Type$7
 317:             1             40  jdk.nashorn.internal.objects.NativeArray
 318:             1             40  sun.nio.cs.StandardCharsets$Aliases
 319:             1             40  sun.nio.cs.StandardCharsets$Cache
 320:             1             40  sun.nio.cs.StandardCharsets$Classes
 321:             1             32  [Ljava.lang.OutOfMemoryError;
 322:             2             32  [Ljava.lang.StackTraceElement;
 323:             1             32  [Ljava.lang.ThreadGroup;
 324:             2             32  [Ljava.lang.annotation.Annotation;
 325:             1             32  [Ljdk.internal.dynalink.linker.GuardingDynamicLinker;
 326:             1             32  [Ljdk.internal.dynalink.linker.GuardingTypeConverterFactory;
 327:             1             32  [Ljdk.nashorn.internal.runtime.Context$FieldMode;
 328:             1             32  [Ljdk.nashorn.internal.runtime.ScriptEnvironment$FunctionStatementBehavior;
 329:             1             32  java.io.FileInputStream
 330:             1             32  java.io.FilePermission
 331:             1             32  java.io.UnixFileSystem
 332:             1             32  java.lang.ArithmeticException
 333:             1             32  java.lang.NullPointerException
 334:             2             32  java.lang.Shutdown$Lock
 335:             1             32  java.lang.StringCoding$StringDecoder
 336:             1             32  java.lang.StringCoding$StringEncoder
 337:             1             32  java.lang.invoke.BoundMethodHandle$Species_I
 338:             1             32  java.lang.reflect.WeakCache
 339:             1             32  java.lang.reflect.WeakCache$CacheKey
 340:             2             32  java.nio.ByteOrder
 341:             1             32  java.util.Collections$SynchronizedMap
 342:             2             32  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet
 343:             2             32  java.util.HashMap$Values
 344:             2             32  java.util.IdentityHashMap$KeySet
 345:             1             32  java.util.PropertyPermission
 346:             1             32  java.util.Random
 347:             1             32  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 348:             2             32  java.util.jar.Attributes
 349:             1             32  java.util.logging.LogManager$SystemLoggerContext
 350:             1             32  jdk.internal.dynalink.DynamicLinker
 351:             1             32  jdk.internal.dynalink.support.CompositeTypeBasedGuardingDynamicLinker$ClassToLinker
 352:             1             32  jdk.internal.dynalink.support.TypeConverterFactory$1
 353:             1             32  jdk.internal.dynalink.support.TypeConverterFactory$2
 354:             1             32  jdk.internal.dynalink.support.TypeConverterFactory$3
