docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
 163:            37            888  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@11.0.8)
 164:            37            888  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@11.0.8)
 165:             6            864  [Ljava.lang.invoke.MemberName; (java.base@11.0.8)
 166:            27            864  java.io.RandomAccessFile (java.base@11.0.8)
 167:            27            864  java.lang.WeakPairMap$Pair$Weak$1 (java.base@11.0.8)
 168:            27            864  jdk.internal.org.objectweb.asm.Type (java.base@11.0.8)
 169:            53            848  sun.reflect.generics.tree.ClassTypeSignature (java.base@11.0.8)
 170:            35            840  java.lang.management.ManagementPermission (java.management@11.0.8)
 171:             4            832  [Z (java.base@11.0.8)
 172:            27            800  [Ljava.lang.annotation.ElementType; (java.base@11.0.8)
 173:            25            800  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@11.0.8)
 174:            25            800  java.util.Locale (java.base@11.0.8)
 175:            25            800  sun.util.locale.BaseLocale (java.base@11.0.8)
 176:            25            800  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
 177:            14            784  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@11.0.8)
 178:            25            768  [Ljava.io.ObjectStreamField; (java.base@11.0.8)
 179:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@11.0.8)
 180:            24            768  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@11.0.8)
 181:             2            768  java.util.TimerThread (java.base@11.0.8)
 182:             2            768  jdk.internal.misc.InnocuousThread (java.base@11.0.8)
 183:            24            768  sun.reflect.annotation.AnnotationType (java.base@11.0.8)
 184:            13            728  javax.management.openmbean.CompositeType (java.management@11.0.8)
 185:            30            720  java.time.Instant (java.base@11.0.8)
 186:            18            720  sun.reflect.generics.repository.MethodRepository (java.base@11.0.8)
 187:            30            720  sun.security.provider.PolicyFile$PolicyEntry (java.base@11.0.8)
 188:            29            696  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@11.0.8)
 189:            28            672  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@11.0.8)
 190:             6            664  [D (java.base@11.0.8)
